ispb,codigo_compe,nome,nome_completo
26264220,671,"ZERO IP","ZERO INSTITUIÇÃO DE PAGAMENTO S.A."
26615279,685,"TYCOON TECHNOLOGY IIP S.A","TYCOON TECHNOLOGY INSTITUICAO DE PAGAMENTO S.A"
27084098,593,"TRANSFEERA IP S.A.","TRANSFEERA INSTITUIÇÃO DE PAGAMENTO S.A"
27098060,335,"BANCO DIGIO","Banco Digio S.A."
27214112,349,"AL5 S.A. SCFI","AL5 S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
27302181,427,CRED.UFES,"COOPERATIVA DE CRÉDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO"
27351731,374,"REALIZE SCFI S.A.","REALIZE SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
27652684,278,"GENIAL INVESTIMENTOS CVM S.A.","Genial Investimentos Corretora de Valores Mobiliários S.A."
27842177,271,"BPY CCTVM S.A.","BPY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
27970567,674,"HINOVA PAY IP S.A.","HINOVA PAY INSTITUICAO DE PAGAMENTO S.A."
28127603,021,"BCO BANESTES S.A.","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO"
28195667,246,"BCO ABC BRASIL S.A.","Banco ABC Brasil S.A."
28650236,292,"GALAPAGOS DTVM S.A.","GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
28719664,000,"Balcão B3","Sistema do Balcão B3"
28811341,554,"BCO STONEX S.A.","BANCO STONEX S.A."
29011780,,"CIP SA C3","CIP S.A"
29030467,751,"Scotiabank Brasil","Scotiabank Brasil S.A. Banco Múltiplo"
29162769,352,"SANTANDER CTVM S.A.","SANTANDER CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
30306294,208,"BANCO BTG PACTUAL S.A.","Banco BTG Pactual S.A."
30498377,,CSDBR,"CSD CENTRAL DE SERVICOS DE REGISTRO E DEPOSITO AOS MERCADOS FINANCEIRO E DE CAPITAIS S.A."
30507541,683,"BRASIL CASH IP S.A.","BRASIL CASH INSTITUICAO DE PAGAMENTO S.A"
